,Pro-Israel,Pro-Palestine
0,0.7666855,0.23331447
1,0.9154867,0.08451342
2,0.8651766,0.1348233
3,0.84055215,0.15944777
4,0.84420145,0.15579858
5,0.6544051,0.3455949
6,0.85905457,0.1409456
7,0.80866736,0.1913327
8,0.8221771,0.17782289
9,0.8910128,0.10898709
10,0.8012725,0.19872753
11,0.83101374,0.1689863
12,0.8801081,0.11989198
13,0.9026812,0.09731892
14,0.60497534,0.39502457
15,0.77010155,0.22989833
16,0.84982824,0.15017183
17,0.75625557,0.24374425
18,0.96212655,0.037873365
19,0.8086976,0.19130243
20,0.7922159,0.20778418
21,0.83203727,0.16796257
22,0.77799195,0.22200818
23,0.76276326,0.23723684
24,0.8868325,0.1131675
25,0.34237966,0.6576205
26,0.8703349,0.12966508
27,0.85440344,0.14559656
28,0.9217401,0.07825971
29,0.7811118,0.21888828
30,0.90995705,0.09004289
31,0.933282,0.066718094
32,0.7902446,0.20975535
33,0.86878693,0.13121307
34,0.85542274,0.14457743
35,0.78152627,0.21847378
36,0.80336267,0.19663735
37,0.81101006,0.18898992
38,0.8615413,0.13845861
39,0.8584135,0.14158638
40,0.90373117,0.09626874
41,0.88604957,0.1139503
42,0.88598084,0.114019215
43,0.8555083,0.14449173
44,0.8301198,0.16988018
45,0.7822687,0.21773133
46,0.7808046,0.21919554
47,0.89735794,0.10264205
48,0.8195314,0.1804685
49,0.7974287,0.2025713
50,0.78829837,0.21170165
51,0.9057743,0.094225705
52,0.78712404,0.21287613
53,0.78783315,0.21216673
54,0.78400993,0.2159902
55,0.84545016,0.15454988
56,0.7814825,0.21851745
57,0.84530747,0.15469253
58,0.6721662,0.32783377
59,0.83996034,0.1600396
60,0.80288994,0.19711006
61,0.8540816,0.1459186
62,0.86134905,0.13865095
63,0.7665586,0.23344144
64,0.8019082,0.1980919
65,0.77226835,0.2277315
66,0.6440983,0.35590172
67,0.83218026,0.16781968
68,0.8865697,0.1134304
69,0.8280373,0.17196248
70,0.78858376,0.21141611
71,0.87208456,0.12791526
72,0.79289144,0.20710854
73,0.8133059,0.18669394
74,0.7976767,0.20232345
75,0.832029,0.16797088
76,0.84876364,0.15123636
77,0.9131128,0.08688734
78,0.7104565,0.28954354
79,0.8583967,0.14160325
80,0.59730035,0.40269965
81,0.76456624,0.23543371
82,0.9099762,0.09002365
83,0.85200095,0.14799923
84,0.82704806,0.17295197
85,0.7602229,0.23977707
86,0.7560404,0.2439596
87,0.86084306,0.13915695
88,0.7695634,0.23043686
89,0.6427921,0.35720786
90,0.8145166,0.18548328
91,0.9075652,0.09243479
92,0.8917176,0.1082824
93,0.8083302,0.19166988
94,0.6876608,0.31233928
95,0.823577,0.17642309
96,0.6628977,0.33710217
97,0.72447616,0.27552372
98,0.8548735,0.14512646
99,0.7617904,0.23820958
100,0.7157508,0.2842493
101,0.8616999,0.13830003
102,0.8756744,0.12432565
103,0.8046695,0.1953305
104,0.8907535,0.10924626
105,0.85877746,0.14122266
106,0.6828246,0.3171753
107,0.7969658,0.20303415
108,0.75228846,0.24771167
109,0.67571783,0.32428226
110,0.7880295,0.21197027
111,0.88752085,0.11247919
112,0.88826394,0.11173617
113,0.981457,0.018543025
114,0.7998854,0.2001145
115,0.75409126,0.24590868
116,0.8414852,0.15851462
117,0.7936001,0.20639998
118,0.839656,0.1603439
119,0.7801669,0.21983305
120,0.7993147,0.2006853
121,0.76785386,0.23214617
122,0.8111656,0.18883434
123,0.62435144,0.3756486
124,0.8388896,0.16111054
125,0.93256205,0.06743798
126,0.80399317,0.19600679
127,0.80057096,0.19942898
128,0.9280689,0.07193107
129,0.85333925,0.14666076
130,0.8047342,0.19526581
131,0.718261,0.2817391
132,0.9333231,0.06667687
133,0.80305076,0.19694908
134,0.86560804,0.13439207
135,0.8119229,0.18807696
136,0.9213338,0.07866635
137,0.859509,0.14049104
138,0.817695,0.18230507
139,0.9577011,0.04229887
140,0.8204415,0.1795584
141,0.69346124,0.3065387
142,0.82387763,0.17612244
143,0.8951285,0.10487161
144,0.68977445,0.31022552
145,0.79089624,0.20910393
146,0.68085265,0.3191473
147,0.81665426,0.18334551
148,0.8472309,0.15276918
149,0.92631316,0.073686905
150,0.67502314,0.32497683
151,0.78127176,0.2187284
152,0.75453097,0.24546897
153,0.8605663,0.13943392
154,0.8613644,0.13863535
155,0.8419926,0.15800753
156,0.8148961,0.1851039
157,0.95274895,0.047251083
158,0.76743746,0.23256253
159,0.7522231,0.24777699
160,0.80848,0.19152008
161,0.7414125,0.25858763
162,0.88099784,0.1190021
163,0.79416,0.20584004
164,0.8817839,0.118215896
165,0.74475145,0.25524864
166,0.8067455,0.19325449
167,0.7874589,0.21254112
168,0.87052923,0.12947083
169,0.8016323,0.1983678
170,0.86954206,0.1304578
171,0.9065716,0.093428396
172,0.83000463,0.16999522
173,0.960852,0.039148208
174,0.73960066,0.26039925
175,0.7987478,0.20125228
176,0.9234853,0.076514706
177,0.7762726,0.22372751
178,0.81973374,0.18026629
179,0.8642354,0.13576458
180,0.8348707,0.1651293
181,0.69165945,0.30834052
182,0.8815538,0.11844628
183,0.7381781,0.2618221
184,0.8304782,0.16952185
185,0.8461311,0.1538688
186,0.88068765,0.11931223
187,0.8910253,0.108974606
188,0.83878404,0.16121592
189,0.67685896,0.32314107
190,0.8624418,0.13755824
191,0.77904266,0.2209573
192,0.6433394,0.35666066
193,0.8021299,0.19787008
194,0.78716767,0.21283227
195,0.68760324,0.31239673
196,0.8265818,0.1734183
197,0.7723105,0.2276896
198,0.90265113,0.09734883
199,0.84452415,0.15547594
200,0.77375007,0.22624978
201,0.8308872,0.16911282
202,0.90591234,0.09408777
203,0.9326482,0.06735184
204,0.6764088,0.32359114
205,0.7386544,0.2613455
206,0.5780726,0.42192736
207,0.7718089,0.22819118
208,0.7142982,0.28570178
209,0.90683013,0.09316989
210,0.8405953,0.1594047
211,0.79133177,0.20866811
212,0.81622344,0.18377657
213,0.796647,0.20335299
214,0.67283446,0.32716542
215,0.8132378,0.18676206
216,0.76659554,0.23340459
217,0.87585485,0.12414514
218,0.7843788,0.21562126
219,0.9031557,0.096844494
220,0.808676,0.19132383
221,0.64615434,0.3538455
222,0.8490083,0.15099159
223,0.86562216,0.13437775
224,0.7672213,0.23277876
225,0.88573027,0.11426982
226,0.8588301,0.14116986
227,0.8395642,0.16043568
228,0.78432274,0.21567734
229,0.6445133,0.35548657
230,0.6160872,0.38391277
231,0.715683,0.28431687
232,0.68761694,0.312383
233,0.77410394,0.22589597
234,0.5163192,0.48368075
235,0.673314,0.32668605
236,0.84277153,0.15722832
237,0.82883424,0.17116587
238,0.82300484,0.17699529
239,0.88167214,0.11832792
240,0.7553183,0.2446817
241,0.847429,0.15257095
242,0.7102185,0.28978145
243,0.782192,0.21780796
244,0.87488914,0.12511097
245,0.8247966,0.17520346
246,0.78638405,0.21361595
247,0.7461257,0.2538742
248,0.67673737,0.3232626
249,0.7630539,0.23694606
250,0.9535004,0.04649981
251,0.87752396,0.1224759
252,0.5250867,0.47491333
253,0.8937476,0.10625247
254,0.8963293,0.10367074
255,0.71101546,0.28898442
256,0.90874785,0.091252305
257,0.8619919,0.13800807
258,0.83803195,0.16196796
259,0.7367758,0.26322415
260,0.9015408,0.09845921
261,0.8552198,0.14478022
262,0.84868723,0.1513129
263,0.94471216,0.05528784
264,0.8473342,0.15266572
265,0.8336195,0.16638058
266,0.7030014,0.2969985
267,0.81330496,0.18669504
268,0.8486567,0.15134339
269,0.7596932,0.24030684
270,0.7048637,0.29513627
271,0.78556657,0.21443354
272,0.8771685,0.12283146
273,0.74740493,0.25259513
274,0.8456608,0.15433915
275,0.8705482,0.1294518
276,0.7844898,0.21551041
277,0.81204003,0.18795979
278,0.8439867,0.15601337
279,0.8553287,0.1446713
280,0.8007371,0.19926289
281,0.7108852,0.28911483
282,0.8341623,0.1658375
283,0.90717477,0.09282524
284,0.8288925,0.17110735
285,0.8373345,0.16266556
286,0.8879045,0.11209555
287,0.87519807,0.12480174
288,0.8430675,0.1569324
289,0.76456755,0.23543257
290,0.80802083,0.19197895
291,0.8120935,0.18790646
292,0.8403891,0.15961075
293,0.855515,0.14448501
294,0.74064755,0.25935236
295,0.81947464,0.18052521
296,0.7160939,0.28390607
297,0.8956542,0.1043457
298,0.7448629,0.2551371
299,0.692765,0.30723485
